latitude, longitude ,loc_name
48.865921,2.238102,"Europe--Bois de Boulogne, Paris, France"
48.909017,2.08895,"Europe--foret de sainte germain ne laye, France"
51.047,3.6801,"Europe--Balaameer Park, Gent, Belgium "
53.27865,5.0195,"Europe--Vlieland, The Netherlands"
53.23026,7.46476,"Europe--Leer, Germany"
53.552424,10.009166,"Europe--Hamburg HBF, Germany"
55.70799,13.19461,"Europe--Lund, Sweden"
59.90961,10.73671,"Europe--Oslo, Norway"
60.61771,6.41837,"Europe--Voss, Norway"
60.4186,5.45911,"Europe--Arna, Norway"
55.66923,12.59374,"Europe--Copenhagen, Denmark"
47.32997,12.81694,"Europe--Zell Am See, Austria"
47.32154,12.82673,"Europe--Just below Enzianhutte, above Zell Am See, Austria"
47.274049,12.758889,"Europe--Shelbenhoff bus stop, Kaprun, Austria"
47.446998,9.759498,"Europe--Schwarzach, Austria"
46.43708,14.051,"Europe--Jecenice, Slovenia"
46.38939,14.084262,"Europe--Podhom, Slovenia"
45.67916,13.97063,"Europe--Divaca Kras, Slovenia"
45.663584,13.993662,"Europe--Skocjan caves, Slovenia"
47.16645,9.52102,"Europe--Schaan, Liechtenstein"
46.7525,7.63783,"Europe--Thun, Switzerland"
46.09093,6.999196,"Europe--Le Tretien, Switzerland"
45.888804,6.822721,"Europe--Tacconaz, France"
45.160604,5.699312,"Europe--Grenoble, France"
